Site,UniqueID,Site list,Map Tool Grade Levels,Geographic Region,Construction Year,decade,Square Feet,FCI,FCI Rating,Current Utilization,Utilization Categories,2023-2024,Outdoor spaces ,Add 1 Year,Add 1 Area,Add 2 Year,Add 2 Area,Add 3 Year,Add 3 Area,Add 4 Year,Add 4 Area,Add 5 Year,Add 5 Area,Addition area,Number of additions,Available Acreage
350,132d827c,Thoreau,K-8,Northwest,1971,1970,"83,683",0.154,Fair,66.98%,Low,357,"Age-appropriate playground, Basketball court, Grass field, Tennis court, Hardscape surface, Outdoor classroom",1921,0,1929,0,1951,0,0,0,2005,28989,28989,1,1.507
226,e92e22b9,Milw Sign Language,K-8,Northwest,1959,1950,"87,627",0.134,Fair,66.35%,Low,414,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",1962,36383,0,0,0,0,0,0,0,0,36383,1,5.981
179,2e4f952f,Franklin,K-8,Central,1923,1920,"104,330",0.018,Great,66.28%,Low,344,"Basketball court, Baseball field, Hardscape surface, Outdoor classroom",1968,0,0,0,0,0,0,0,0,0,0,0,2.11
119,3c2d8001,Craig Montessori,K-8,Northwest,1930,1930,"61,420",0.057,Good,66.24%,Low,257,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom, Edible Garden",1947,0,1952,0,1954,0,2005,7100,0,0,7100,1,3.307
154,6bac615c,Thurston Woods,K-8,Northwest,1954,1950,"89,090",0.131,Fair,65.93%,Low,298,"Basketball court, Hardscape surface, Outdoor classroom",0,0,0,0,1991,-,1992,6536,2003,15908,22444,3,1.878
44,82225c09,Wedgewood MS,Middle School,Southwest,1959,1950,"138,600",0.05,Great,65.71%,Low,552,"Basketball court, Baseball field, Grass field, Tennis court, Softball, Outdoor track, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,9.302
123,f60b6454,Browning,Elementary School,Northwest,2003,2000,"65,500",0.01,Great,63.72%,Low,288,"Age-appropriate playground, Basketball court, Soccer, Multi-sport Field, Hardscape surface, Outdoor classroom, Edible Garden",0,0,0,0,0,0,0,0,0,0,0,0,0
188,cc19366a,Lloyd Barbee Montessori,Elementary School,Central,1931,1930,"79,900",0.107,Fair,63.67%,Low,305,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom, Edible Garden",0,0,0,0,0,0,0,0,0,0,0,0,5.13
331,18e1f4d0,Milw Environmental Sciences - Leased,K-8,Northwest,1956,1950,"54,776",0.197,Fair,61.59%,Low,295,"Age-appropriate playground, Basketball court, Baseball field, Grass field, Hardscape surface, Outdoor classroom, Edible Garden",1958,21038,2004,12700,0,0,0,0,0,0,33738,2,3.996
237,bcb209b9,Kilbourn,Elementary School,Northwest,1961,1960,"49,651",0.413,Poor,60.71%,Low,258,"Age-appropriate playground, Basketball court, Hardscape surface, Outdoor classroom",0,0,0,0,0,0,0,0,0,0,0,0,3.297
